movie_id,cluster
tt0035423,1
tt0088751,4
tt0096056,14
tt0113092,12
tt0116391,8
tt0117461,6
tt0117743,6
tt0118652,6
tt0118852,2
tt0118926,4
tt0119004,2
tt0119231,13
tt0119273,10
tt0120166,2
tt0120202,2
tt0120467,13
tt0120630,8
tt0120667,4
tt0120679,14
tt0120681,2
tt0120698,10
tt0120737,14
tt0120753,3
tt0120755,4
tt0120804,3
tt0120824,5
tt0120870,2
tt0120903,14
tt0120912,1
tt0120913,1
tt0120917,8
tt0121164,2
tt0121569,2
tt0121765,1
tt0121766,12
tt0122161,10
tt0122247,0
tt0122459,3
tt0123003,2
tt0123581,7
tt0124889,0
tt0125022,3
tt0126029,2
tt0127349,10
tt0129095,2
tt0130623,0
tt0131597,9
tt0131704,12
tt0132245,2
tt0132885,0
tt0132910,2
tt0133152,1
tt0133240,3
tt0133752,6
tt0134084,1
tt0134630,1
tt0134847,3
tt0134983,2
tt0135707,6
tt0138353,2
tt0138524,1
tt0138749,3
tt0138927,0
tt0138946,1
tt0139388,2
tt0139654,1
tt0140806,10
tt0141120,10
tt0141907,2
tt0141926,1
tt0142650,13
tt0144084,14
tt0144142,1
tt0144528,2
tt0144608,6
tt0144964,10
tt0145487,5
tt0146309,3
tt0146316,3
tt0146803,10
tt0146882,12
tt0146984,1
tt0148421,3
tt0149367,5
tt0149624,1
tt0150021,2
tt0151150,8
tt0151309,6
tt0153012,10
tt0153100,6
tt0153464,4
tt0156020,6
tt0156323,2
tt0156376,0
tt0156807,0
tt0156812,1
tt0156841,2
tt0156942,0
tt0157472,10
tt0157583,2
tt0157836,2
tt0158033,4
tt0158622,13
tt0159273,1
tt0159291,8
tt0159365,1
tt0159378,2
tt0159396,4
tt0159784,0
tt0160009,3
tt0160127,1
tt0160256,2
tt0160289,0
tt0160399,2
tt0160403,6
tt0160434,2
tt0160447,10
tt0160484,2
tt0160495,3
tt0160547,9
tt0160611,14
tt0160616,13
tt0160644,6
tt0160749,6
tt0160797,15
tt0160905,15
tt0161081,2
tt0161083,4
tt0161216,2
tt0162222,3
tt0162346,14
tt0162650,12
tt0162711,5
tt0162983,14
tt0163025,1
tt0163080,4
tt0163125,10
tt0163246,0
tt0163745,6
tt0163764,2
tt0163978,4
tt0163983,0
